Movie Name,IMDB Rating,Description,Votes,Director(s),Stars,Metascore,Movie Genre,Total Duration
Death to 2020,6.8,Take a look back at the mad glory of the year 2020 in this comedic retrospective.,"38,813","['Al Campbell', 'Alice Mathias']","['Samuel L. Jackson', 'Hugh Grant', 'Lisa Kudrow', 'Kumail Nanjiani']",,Comedy,70 min
Hunters,7.2,"In 1977 New York City, a troubled young Jewish man bent on revenge is taken in by a secret group of Nazi hunters fighting a clandestine war against the cabal of high-ranking Nazi officials in hiding who work to create the Fourth Reich.","38,554",,"['Al Pacino', 'Logan Lerman', 'Lena Olin', 'Jerrika Hinton']",,"Crime, Drama, Mystery",60 min
Ragnarok,7.5,A small Norwegian town experiencing warm winters and violent downpours seems to be headed for Ragnarok -- unless someone intervenes in time.,"37,879",,"['David Stakston', 'Jonas Strand Gravli', 'Herman Tømmeraas', 'Theresa Frostad Eggesbø']",,"Action, Drama, Fantasy",45 min
The Half of It,6.9,"When smart but cash-strapped teen Ellie Chu agrees to write a love letter for a jock, she doesn't expect to become his friend - or fall for his crush.","37,877",['Alice Wu'],"['Leah Lewis', 'Daniel Diemer', 'Alexxis Lemire', 'Wolfgang Novogratz']",74,"Comedy, Drama, Romance",104 min
Escape from Pretoria,6.8,"Based on the real-life prison break of two political captives, Escape From Pretoria is a race-against-time thriller set in the tumultuous apartheid days of South Africa.","37,496",['Francis Annan'],"['Daniel Radcliffe', 'Daniel Webber', 'Ian Hart', 'Mark Leonard Winter']",56,"Biography, Crime, Mystery",106 min
Hollywood,7.5,A group of aspiring actors and filmmakers in post-World War II Hollywood try to make it big - no matter the cost.,"36,993",,"['David Corenswet', 'Darren Criss', 'Laura Harrier', 'Joe Mantello']",,"Drama, History",347 min
Possessor,6.5,An agent works for a secretive organization that uses brain-implant technology to inhabit other people's bodies - ultimately driving them to commit assassinations for high-paying clients.,"36,439",['Brandon Cronenberg'],"['Andrea Riseborough', 'Christopher Abbott', 'Jennifer Jason Leigh', 'Rossif Sutherland']",72,"Horror, Mystery, Sci-Fi",103 min
Gunjan Saxena: The Kargil Girl,5.5,Inspired by the life of a fearless young officer who made history by becoming the first Indian female Air Force officer to fly in a combat zone during the 1999 Kargil War,"34,854","['ALi Khan AK', 'Sharan Sharma']","['Janhvi Kapoor', 'Pankaj Tripathi', 'Angad Bedi', 'Manav Vij']",,"Action, Biography, Drama",112 min
Aashram,7.3,"A duplicitous, aashram based, Indian Godman's good deeds serve activities criminal and unholy, such as rapes, murders, drugs, vote bank politics and forced male emasculation. The law and a few crusaders investigate to bring him to account.","33,909",,"['Bobby Deol', 'Chandan Roy Sanyal', 'Aditi Sudhir Pohankar', 'Darshan Kumaar']",,"Crime, Drama, Mystery",45 min
"Quo vadis, Aida?",8.0,"Aida is a translator for the UN in the small town of Srebrenica. When the Serbian army takes over the town, her family is among the thousands of citizens looking for shelter in the UN camp.","33,447",['Jasmila Zbanic'],"['Jasna Djuricic', 'Izudin Bajrovic', 'Boris Ler', 'Dino Bajrovic']",97,"Drama, History, War",101 min
Special OPS,8.6,"The story through the eyes of Himmat Singh is based on the inspiration was taken from Nineteen Years of nationally significant events, several espionage missions were undertaken by India in the last two decades.","33,092",,"['Kay Kay Menon', 'Karan Tacker', 'Gautami Kapoor', 'Muzamil Ibrahim']",,"Action, Crime, Thriller",49 min
Train to Busan Presents: Peninsula,5.5,"A zombie virus has in the last 4 years spread to all South Korea. 4 Koreans in Hong Kong sail through the blockade to Incheon for USD20,000,000 on a truck.","33,065",['Sang-ho Yeon'],"['Dong-won Gang', 'Lee Jung-hyun', 'Re Lee', 'Hae-hyo Kwon']",51,"Action, Horror, Thriller",116 min
The Call,7.1,"Two people live in different times. Seo-Yeon lives in the present and Young-Sook lives in the past. One phone call connects the two, and their lives are changed irrevocably.","33,048",['Chung-Hyun Lee'],"['Park Shin-Hye', 'Jeon Jong-seo', 'Kim Sung-ryung', 'Lee El']",,"Crime, Horror, Mystery",112 min
Attack on Titan,9.3,"15 | 24 min | Animation, Action, Adventure","32,534","['Yûichirô Hayashi', 'Jun Shishido']","['Yoshimasa Hosoya', 'Takehito Koyasu', 'Ayane Sakura', 'Natsuki Hanae']",,"Animation, Action, Adventure",24 min
On the Rocks,6.4,A young mother reconnects with her larger-than-life playboy father on an adventure through New York.,"32,410",['Sofia Coppola'],"['Bill Murray', 'Rashida Jones', 'Marlon Wayans', 'Jessica Henwick']",73,"Comedy, Drama, Romance",96 min
Into the Night,7.1,"When radiation from the sun causes a global disaster on Earth, survivors on an overnight flight from Brussels race from city to city trying to stay ahead of the sun's rays by remaining in the cover of night.","32,378",,"['Pauline Etienne', 'Laurent Capelluto', 'Mehmet Kurtulus', 'Babetida Sadjo']",,"Drama, Sci-Fi, Thriller",35 min
