Movie Name,IMDB Rating,Description,Votes,Director(s),Stars,Metascore,Movie Genre,Total Duration
Karakomik Filmler: Emanet,5.6,"In the second part of Karakomik Filmler's sequel, Emanet is about an amateur dancer who dreams of fame. He tries to realise it by demonstrating his skills on TV, in a talent show.","6,951",['Cem Yilmaz'],"['Cem Yilmaz', 'Çaglar Çorumlu', 'Özge Özpirinçci', 'Tülin Özen']",,Comedy,60 min
Paranormal,8.0,"15 | 46 min | Drama, Fantasy, Horror","6,939","['Majid Al Ansari', 'Amr Salama']","['Ahmed Amin', 'Sandy Issa Balat', 'Reem Abd El Kader', 'Amjad Al Hajjar']",,"Drama, Fantasy, Horror",46 min
Kiss the Ground,8.2,"A revolutionary group of activists, scientists, farmers, and politicians band together in a global movement of ""Regenerative Agriculture"" that could balance our climate, replenish our vast water supplies, and feed the world.","6,933","['Joshua Tickell', 'Rebecca Harrell Tickell']","['Woody Harrelson', 'Ray Archuleta', 'John Wick', 'Kristin Ohlson']",,Documentary,84 min
Body Cam,5.3,"When a routine traffic stop results in the unexplained, grisly death of her colleague, a cop realizes footage of the incident will play for her eyes only. As the attacks mount, she races to understand the supernatural force behind them.","6,915",['Malik Vitthal'],"['Mary J. Blige', 'Nat Wolff', 'David Zayas', 'Anika Noni Rose']",37,"Action, Adventure, Crime",96 min
Extracurricular,7.6,A model high school student who's steeped in a world of serious crime finds his double life upended when a classmate takes an interest in his secret.,"6,906",,"['Kim Dong-Hee', 'Park Ju-hyun', 'Da-bin Jung', 'Nam Yoon-Su']",,"Crime, Drama",50 min
High,8.4,Shiv Mathur is an addict and eventually finds himself in a rehab facility. The rehab is run by people who are working on a mysterious compound. This magical pill seems to have an edge above all; but is this miracle drug worth dying for?,"6,887",,"['Akshay Oberoi', 'Ranvir Shorey', 'Mrinmayee Godbole', 'Shweta Basu Prasad']",,"Crime, Drama, Thriller",35 min
The Walking Dead,7.7,"15 | 50 min | Drama, Horror, Thriller","6,886",['Sharat Raju'],"['Norman Reedus', 'Danai Gurira', 'Melissa McBride', 'Christian Serratos']",,"Drama, Horror, Thriller",50 min
Paranormal,8.5,"15 | 49 min | Drama, Fantasy, Horror","6,863","['Majid Al Ansari', 'Amr Salama']","['Abdelsamee Abdallah', 'Ahmed Amin', 'Sandy Issa Balat', 'Sherief El Desouky']",,"Drama, Fantasy, Horror",49 min
Violet Evergarden: The Movie,8.3,"After the aftermath of a war, a young girl who was used as a 'tool' for war learned to live. With the scars of burns, she goes back to her past to feel the true feelings of the Major's, ""I love you.""","6,860",['Taichi Ishidate'],"['Yui Ishikawa', 'Daisuke Namikawa', 'Takehito Koyasu', 'Hidenobu Kiuchi']",,"Animation, Drama, Fantasy",140 min
Taqdeer,8.7,Freezer van driver Taqdeer spirals into a dark game of destiny after he finds the unclaimed dead body of a woman in his truck.,"6,831",,"['Chanchal Chowdhury', 'Sanjida Preeti', 'Manoj Kumar Pramanik', 'Shohel Mondol']",,"Crime, Mystery, Thriller",20 min
Class Action Park,7.0,A documentary that focuses on a dangerously legendary water park and its slew of injuries and crimes along with child safety concerns.,"6,831","['Seth Porges', 'Chris Charles Scott III']","['John Hodgman', 'Faith Anderson', 'Alison Becker', 'Bill Benneyan']",69,"Documentary, Crime",90 min
Beastie Boys Story,7.7,"Here's a little story they're about to tell... Michael Diamond and Adam Horovitz share the story of the band, Beastie Boys, and 40 years of friendship in a live documentary experience directed by friend and collaborator, Spike Jonze.","6,826",['Spike Jonze'],"['Beastie Boys', 'Mike D', 'Adam Horovitz', 'Adam Yauch']",74,"Documentary, Biography, Music",119 min
Paava Kadhaigal,8.0,"At times dark, at times disturbing, four short films explore stories of those who dare to dream and desire - and those determined to stand in their way.","6,812",,"['Simran', 'Prakash Raj', 'Kalidas Jayaram', 'Anjali']",,Drama,36 min
Down to Earth with Zac Efron,8.0,"In this travel show, actor Zac Efron journeys around the world with wellness expert Darin Olien in search of healthy, sustainable ways to live.","6,765",,"['Zac Efron', 'Darin Olien', 'Anna Kendrick', 'Martin Riese']",,"Documentary, History, Reality-TV",
Belgravia,7.5,"Follows events when the emerging nouveau riche, including the Trenchard family, rub shoulders with London's established upper classes and when secrets from the past threaten to emerge.","6,745",,"['Philip Glenister', 'Tamsin Greig', 'Harriet Walter', 'Saskia Reeves']",,"Drama, History, Romance",60 min
The Good Lord Bird,7.6,"Ethan Hawke stars as abolitionist John Brown in this series based on the novel. ""Onion"" is a fictional enslaved boy who becomes a member of Brown's family of abolitionist soldiers and finds himself in the 1859 raid at Harpers Ferry.","6,722",,"['Ethan Hawke', 'Hubert Point-Du Jour', 'Beau Knapp', 'Nick Eversman']",,"Drama, History, War",335 min
Dick Johnson Is Dead,7.4,A daughter helps her father prepare for the end of his life.,"6,701",['Kirsten Johnson'],"['Michael Hilow', 'Ana Hoffman', 'Dick Johnson', 'Kirsten Johnson']",89,"Documentary, Biography, Drama",89 min
Staged,8.5,"David Tennant and Michael Sheen star as two actors whose West End play has been put on hold due to Covid-19, but whose director has persuaded them to carry on rehearsing online.","6,699",,"['David Tennant', 'Michael Sheen', 'Georgia Tennant', 'Anna Lundberg']",,"Comedy, Drama",22 min
Bhaag Beanie Bhaag,4.2,"It follows the life of Beanie, a young girl, who decides to run from her very comfortable life and pursue a career in stand-up comedy.","6,698",,"['Swara Bhaskar', 'Ravi Patel', 'Mona Ambegaonkar', 'Girish Kulkarni']",,Comedy,29 min
Blackpink: Light Up the Sky,7.3,Chart the meteoric rise of the South Korean girl group BLACKPINK in director Caroline Suh's documentary.,"6,685",['Caroline Suh'],"['Reila Post', 'Blackpink', 'Jennie Kim', 'Jisoo Kim']",66,"Documentary, Music",79 min
Nishabdham,5.1,"Seattle PD is investigating the murder of a man and Sakshi, a deaf and mute artist, and her husband Antony, a renowned cello player, are related to it. The findings of the investigation forms the crux of the story of Nishabdham/Silence.","6,651","['Hemant Madhukar', 'Anunagaveera']","['Anushka Shetty', 'Madhavan', 'Anjali', 'Michael Madsen']",,"Horror, Mystery, Thriller",120 min
Offering to the Storm,6.2,Inspector Amaia Salazar confronts the origins of her nightmares as she unfolds the darkest secrets of the Baztan valley.,"6,643",['Fernando González Molina'],"['Marta Etura', 'Leonardo Sbaraglia', 'Nene', 'Francesc Orella']",,"Crime, Thriller",139 min
Crackdown,7.3,"A secret service unit, a sinister terror plot, and several innocent lives on the line. Top agent, RP, and his team lead the charge to neutralize the enemies. With time running out, can they eliminate the threat before it eliminates them?","6,632",,"['Saqib Saleem', 'Shriya Pilgaonkar', 'Iqbal Khan', 'Waluscha De Sousa']",,"Action, Crime, Drama",30 min
Impractical Jokers: The Movie,5.8,The story of a humiliating high school mishap from 1992 that sends the Impractical Jokers on the road competing in hidden-camera challenges for the chance to turn back the clock and redeem three of the four Jokers.,"6,628",['Chris Henchy'],"['Paula Abdul', 'Joe Gatto', 'James Murray', 'Brian Quinn']",39,Comedy,92 min
Deep Blue Sea 3,4.7,"Studying the effects of climate change off the coast of Mozambique, a marine biologist and her team confront three genetically enhanced bull sharks. Now, a new bloodbath is waiting to happen in the name of science. Will humans never learn?","6,587",['John Pogue'],"['Tania Raymonde', 'Nathaniel Buzolic', 'Emerson Brooks', 'Bren Foster']",,"Action, Horror, Sci-Fi",100 min
Money Heist,7.0,"15 | 44 min | Action, Crime, Drama","6,578",['Javier Quintas'],"['Úrsula Corberó', 'Álvaro Morte', 'Itziar Ituño', 'Pedro Alonso']",,"Action, Crime, Drama",44 min
Miss Scarlet and the Duke,7.6,Eliza Scarlet joins forces with a Scotland Yard Inspector to solve crime in 19th-century London.,"6,576",,"['Kate Phillips', 'Stuart Martin', 'Cathy Belton', 'Ansu Kabia']",,"Crime, Drama",60 min
The Uncanny Counter,8.1,"Noodle shop employees by day and demon hunters by night, the Counters use special abilities to chase down malevolent spirits that prey on humans.","6,574",,"['Byeong-gyu Jo', 'Joon-Sang Yoo', 'Se-Jeong Kim', 'Yeom Hye-ran']",,"Action, Fantasy, Horror",65 min
The Investigation,7.6,"Copenhagen Police's Homicide unit, headed by Jens Møller, tries to solve the murder of Swedish journalist Kim Wall.","6,555",,"['Søren Malling', 'Pilou Asbæk', 'Pernilla August', 'Rolf Lassgård']",,"Crime, Drama, Mystery",42 min
The Head,6.8,"Winter has fallen on the South Pole. A small team, known as the Winterers, will remain at the Polaris VI Antarctic Research Station to continue their innovative research, a crucial part in the fight against climate change.","6,549",,"['John Lynch', ""Katharine O'Donnelly"", 'Alexandre Willaume', 'Richard Sammel']",,"Drama, Mystery, Thriller",
The Woods,6.6,"In Warsaw, a prosecutor's hopes rise after a body is found and linked to his sister's disappearance 25 years earlier.","6,548",,"['Grzegorz Damiecki', 'Agnieszka Grochowska', 'Hubert Milkowski', 'Wiktoria Filus']",,"Crime, Drama, Mystery",306 min
The F**k-It List,5.2,"After a prank blows up on a high school senior's life, he shares a list of certain things he wishes he'd done differently.","6,537",['Michael Duggan'],"['Eli Brown', 'Madison Iseman', 'Marcus Scribner', 'Karan Brar']",,Comedy,103 min
The Salisbury Poisonings,7.2,"Three episode, fact based drama from the BBC, about the 2018 Novichok poisoning crisis in the city of Salisbury.","6,535",,"['Rafe Spall', 'Anne-Marie Duff', 'Annabel Scholey', 'Judah Cousin']",,"Drama, History, Thriller",58 min
The God of High School,7.3,A tournament takes place to determine the best fighter among all high school students in Korea.,"6,528",,"['Robbie Daymond', 'Tara Sands', 'Landon McDonald', 'Tatsumaru Tachibana']",,"Animation, Action, Adventure",24 min
Cosmos: Possible Worlds,9.1,"""Cosmos: A Spacetime Odyssey"" returns for a second season. Ann Druyan, original creative collaborator to Carl Sagan, serves as executive producer.","6,521",,"['Neil deGrasse Tyson', 'Seth MacFarlane', 'Sasha Sagan', 'Trang Vo']",,Documentary,45 min
Shadowplay,7.0,Max McLaughlin is an American cop who arrives in Berlin in the summer of 1946 to help create a police force in the chaotic aftermath of the war.,"6,516",,"['Taylor Kitsch', 'Michael C. Hall', 'Logan Marshall-Green', 'Nina Hoss']",,"Drama, History, Thriller",45 min
Aunty Donna's Big Ol' House of Fun,7.9,"In their new sketch series, Aunty Donna's Big Ol' House of Fun take viewers along for an absurdist adventure through their everyday lives.","6,512",,"['Mark Samual Bonanno', 'Broden Kelly', 'Zachary Ruane', 'Scott Aukerman']",,Comedy,20 min
Attack of the Unknown,4.3,A SWAT team transporting a vicious crime syndicate boss must fight their way out of a county detention center during a catastrophic alien invasion.,"6,493",['Brandon Slagle'],"['Richard Grieco', 'Jolene Andersen', 'Douglas Tait', 'Robert LaSardo']",,"Action, Horror, Sci-Fi",103 min
Secrets of the Saqqara Tomb,7.2,"After unearthing a tomb that had been untouched for 4,400 years, Egyptian archaeologists attempt to decipher the history of the astonishing find.","6,482","['Ibrahim Elhefnawy', 'James Tovell']","['Ahmed Zikrey Abdellhak', 'Ghareeb Ali Mohammed Abushousha', 'Nabil Eldaleel', 'Sabry Mohyeldin Farag']",,"Documentary, History",113 min
Death of Me,4.4,A vacationing couple must discover the mystery behind a strange video that shows one of them killing the other.,"6,479",['Darren Lynn Bousman'],"['Maggie Q', 'Luke Hemsworth', 'Alex Essoe', 'Kat Ingkarat']",31,"Horror, Mystery, Thriller",94 min
All My Friends Are Dead,5.8,"During the New Year's Eve party of a bunch of friends, a series of crazy events brings out secrets, breaks hearts and leads to a shocking ending.","6,475",['Jan Belcl'],"['Michal Meyer', 'Adam Woronowicz', 'Julia Wieniawa-Narkiewicz', 'Adam Turczyk']",,"Comedy, Crime, Drama",96 min
The Old Ways,5.4,"Cristina, a journalist of Mexican origin, travels to her ancestral home in Veracruz to investigate a story of sorcery and healing. There, she is kidnapped by a group of locals who claim she's the devil incarnated.","6,474",['Christopher Alender'],"['Brigitte Kali Canales', 'Andrea Cortés', 'Julia Vera', 'Sal Lopez']",67,"Drama, Fantasy, Horror",90 min
Yaara,6.1,Former criminals reunite after years to rescue a friend arrested by the police.,"6,466","['Manish Soni', 'Tigmanshu Dhulia']","['Vidyut Jammwal', 'Amit Sadh', 'Mohommed Ali Shah', 'Kenny Basumatary']",,"Action, Crime, Drama",130 min
Dating Amber,7.0,Two school friends decide to start a pretend straight relationship in an effort to fit in.,"6,464",['David Freyne'],"[""Fionn O'Shea"", 'Lola Petticrew', 'Sharon Horgan', 'Barry Ward']",59,"Comedy, Drama, Romance",92 min
Money Heist,7.0,"15 | 42 min | Action, Crime, Drama","6,442",['Alex Rodrigo'],"['Úrsula Corberó', 'Álvaro Morte', 'Itziar Ituño', 'Pedro Alonso']",,"Action, Crime, Drama",42 min
She Dies Tomorrow,5.1,Amy thinks she's dying tomorrow...and it's contagious.,"6,441",['Amy Seimetz'],"['Kate Lyn Sheil', 'Jane Adams', 'Kentucker Audley', 'Katie Aselton']",80,"Drama, Fantasy, Horror",86 min
Samantar,8.4,"What if two individuals share the same destiny- the same palm lines, then what would happen? Samantar is a story about a young man Kumar Mahajan, whose life changes after he goes on journey... See full summary »","6,439",,"['Swapnil Joshi', 'Tejaswini Pandit', 'Nitish Bharadwaj', 'Ganesh Revdekar']",,Mystery,
Hoops,6.0,"Centers on a hot-headed, foul-mouthed high school basketball coach who thinks turning around his godawful team will take him to the ""big leagues.""","6,435",,"['Jake Johnson', 'Ron Funches', 'Cleo King', 'Natasha Leggero']",,"Animation, Comedy, Sport",25 min
Becoming,6.9,"Join former first lady Michelle Obama in an intimate documentary looking at her life, hopes and connection with others during her 2019 book tour for 'Becoming.'","6,413",['Nadia Hallgren'],"['Elizabeth Alexander', 'Adrian K. Collins', 'Valerie Jarrett', 'Gayle King']",66,"Documentary, Biography",89 min
Uncle Tom,8.4,An oral history of the American black conservative.,"6,410",['Justin Malone'],"['Brandon Tatum', 'Carol Swain', 'Chad Jackson', 'Larry Elder']",,"Documentary, History",106 min
Cheer,8.1,"In the small town of Corsicana, Texas, hard-driving head cheer coach Monica Aldama demands perfection from her team of competitive college athletes.","6,407",,"['Monica Aldama', 'Gabi Butler', ""La'Darius Marshall"", 'James Thomas']",,"Documentary, Sport",60 min
Bros.,5.3,"Tanner and Matt are two Midwest men in their late twenties savoring the scotch and entertainment of their beloved hometown of Waterloo, Iowa. Tanner has to decide to accept a job offer in ... See full summary »","6,404",['Don Tjernagel'],"['Courtney Aber', 'J. Maxwell Bash', 'Travis Beck', 'Tanner Bolllinger']",,Comedy,82 min
Darbar,6.0,A police officer is on a chase to hunt down a dreaded gangster to fulfill his own secret agenda.,"6,371",['A.R. Murugadoss'],"['Rajinikanth', 'Nayanthara', 'Nivetha Thomas', 'Suniel Shetty']",,"Action, Crime, Thriller",159 min
